epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0603,1.49078,2.76794,3.04898,1.41867,0,0.20168,0.20369,0.14364,0.07725,0.20005,0.19992,0.13677,0.06254,1.60049,3.28948,3.77599,1.5111,0,0.000364722,0.000364722,0.000364722
2,66.0184,1.62792,2.58894,2.2596,1.48057,0,0.45965,0.1993,0.16383,0.06441,0.45454,0.16051,0.1482,0.0484,1.95064,5.20444,4.68352,2.00668,0,0.000725959,0.000725959,0.000725959
3,97.427,1.65559,2.7093,2.20326,1.51724,0,0.02055,0.12452,0.0366,0.01766,0.0213,0.12844,0.03764,0.01814,2.08941,5.30788,313.314,1.97653,0,0.00107803,0.00107803,0.00107803
4,129.394,1.6397,2.64082,2.13523,1.45693,0,0.31845,0.28256,0.20254,0.09377,0.3086,0.27704,0.1934,0.07549,1.69141,3.49525,4.56351,1.64392,0,0.00106975,0.00106975,0.00106975
5,161.731,1.61701,2.50981,2.0819,1.46361,0,0.36535,0.36753,0.2456,0.13104,0.40522,0.36321,0.24682,0.1158,1.59264,2.70619,2.84063,1.56055,0,0.00105601,0.00105601,0.00105601
6,193.318,1.54163,2.45773,1.82674,1.41807,0,0.3672,0.4519,0.39147,0.20909,0.35548,0.44254,0.36356,0.17812,1.59614,2.78642,2.05567,1.45462,0,0.00104226,0.00104226,0.00104226
7,225.541,1.54587,2.41234,1.78098,1.39166,0,0.32909,0.33917,0.25766,0.11454,0.33586,0.31284,0.22444,0.10353,1.6481,2.65831,3.10499,1.5068,0,0.00102851,0.00102851,0.00102851
8,257.106,1.56932,2.44576,1.79711,1.4192,0,0.55641,0.3773,0.39662,0.19429,0.54087,0.36335,0.37551,0.16875,1.6331,2.55073,1.88163,1.49761,0,0.00101476,0.00101476,0.00101476
9,288.514,1.5194,2.30314,1.64798,1.39245,0,0.52385,0.50475,0.49433,0.26709,0.50074,0.50875,0.47876,0.24555,1.54319,2.52341,1.6467,1.43816,0,0.00100101,0.00100101,0.00100101
10,320.528,1.51125,2.34412,1.68551,1.35865,0,0.5012,0.47539,0.50069,0.28107,0.54359,0.45278,0.47626,0.24515,1.48872,2.45151,1.6817,1.3915,0,0.000987262,0.000987262,0.000987262
11,352.447,1.50863,2.27064,1.60933,1.36658,0,0.45955,0.49575,0.46459,0.25692,0.45033,0.49116,0.44146,0.22267,1.48536,2.36431,1.63262,1.39729,0,0.000973514,0.000973514,0.000973514
12,384.037,1.42178,2.27104,1.55161,1.31015,0,0.55337,0.51093,0.54583,0.31224,0.52441,0.50347,0.52272,0.28338,1.45995,2.28818,1.49901,1.35468,0,0.000959765,0.000959765,0.000959765
13,416.103,1.45605,2.34091,1.57463,1.36229,0,0.51423,0.60264,0.57823,0.332,0.50415,0.58789,0.56103,0.30201,1.46279,2.3183,1.44142,1.37725,0,0.000946016,0.000946016,0.000946016
14,447.906,1.41633,2.27644,1.54775,1.32028,0,0.43255,0.5908,0.503,0.28112,0.42061,0.56584,0.47061,0.25136,1.47559,2.37145,1.53363,1.37325,0,0.000932268,0.000932268,0.000932268
15,479.583,1.34914,2.1395,1.49623,1.29229,0,0.5394,0.54527,0.53034,0.30266,0.52604,0.53965,0.49755,0.26793,1.43923,2.30658,1.59808,1.34347,0,0.000918519,0.000918519,0.000918519
16,511.156,1.3719,2.13468,1.43494,1.28066,0,0.63212,0.5366,0.57892,0.34483,0.61391,0.5209,0.5486,0.30384,1.40762,2.35549,1.40873,1.32116,0,0.000904771,0.000904771,0.000904771
17,543.1,1.32694,2.18407,1.44509,1.26928,0,0.51371,0.50658,0.50908,0.31174,0.50568,0.4977,0.48485,0.26713,1.40434,2.4101,1.48623,1.31356,0,0.000891022,0.000891022,0.000891022
18,574.721,1.3959,2.24027,1.46768,1.29856,0,0.53857,0.54562,0.51235,0.30709,0.55894,0.53839,0.50538,0.27611,1.47917,2.31344,1.50866,1.38044,0,0.000877273,0.000877273,0.000877273
19,606.318,1.3834,2.16387,1.43968,1.28803,0,0.51467,0.57837,0.57194,0.32763,0.51862,0.55444,0.55702,0.3002,1.41407,2.23953,1.36249,1.32702,0,0.000863525,0.000863525,0.000863525
20,638.03,1.27932,2.0208,1.34923,1.24856,0,0.46699,0.55444,0.49127,0.29163,0.4691,0.55239,0.49053,0.25509,1.40464,2.31503,1.57026,1.3122,0,0.000849776,0.000849776,0.000849776
21,669.655,1.30607,2.08047,1.33521,1.24877,0,0.53425,0.57461,0.58335,0.34572,0.55389,0.5571,0.56557,0.31671,1.42762,2.28256,1.35851,1.32616,0,0.000836027,0.000836027,0.000836027
22,701.588,1.27178,2.03089,1.33971,1.24913,0,0.63316,0.55716,0.62259,0.37409,0.63308,0.54552,0.60355,0.32424,1.38835,2.19845,1.26572,1.30291,0,0.000822279,0.000822279,0.000822279
23,733.469,1.291,2.03801,1.34059,1.2589,0,0.62074,0.59648,0.62769,0.38034,0.62723,0.54948,0.60245,0.33311,1.36729,2.21031,1.28888,1.2999,0,0.00080853,0.00080853,0.00080853
24,765.466,1.3046,2.03089,1.29246,1.25316,0,0.5965,0.63731,0.64013,0.3899,0.6075,0.62995,0.62806,0.34282,1.35777,2.24004,1.23374,1.27097,0,0.000794782,0.000794782,0.000794782
25,797.32,1.225,1.93018,1.23357,1.21192,0,0.58227,0.5778,0.56682,0.35191,0.56151,0.55588,0.54468,0.3079,1.38179,2.17866,1.38712,1.30855,0,0.000781033,0.000781033,0.000781033
26,828.995,1.27756,2.04074,1.29741,1.22757,0,0.61895,0.59068,0.62903,0.39528,0.623,0.58129,0.60919,0.34807,1.33186,2.17884,1.23341,1.28124,0,0.000767284,0.000767284,0.000767284
27,860.802,1.21178,1.91953,1.25845,1.23259,0,0.60401,0.62391,0.62443,0.37705,0.66841,0.56679,0.59259,0.3284,1.40943,2.24976,1.27748,1.33548,0,0.000753536,0.000753536,0.000753536
28,892.425,1.30638,2.04478,1.31473,1.27113,0,0.6944,0.55161,0.62627,0.3858,0.68037,0.52625,0.6034,0.34045,1.36577,2.19376,1.29505,1.26345,0,0.000739787,0.000739787,0.000739787
29,923.872,1.20278,1.92172,1.19657,1.18572,0,0.52143,0.60249,0.55978,0.3272,0.51935,0.5889,0.54441,0.28171,1.38629,2.18096,1.30862,1.3059,0,0.000726038,0.000726038,0.000726038
30,955.34,1.26259,1.97771,1.23805,1.20655,0,0.62087,0.6143,0.63575,0.39303,0.58557,0.61123,0.61776,0.35318,1.32957,2.1861,1.18525,1.26921,0,0.00071229,0.00071229,0.00071229
31,987.285,1.23793,2.02929,1.23126,1.19148,0,0.59786,0.60226,0.61443,0.38677,0.58505,0.57892,0.58664,0.33258,1.33162,2.21402,1.23078,1.2753,0,0.000698541,0.000698541,0.000698541
32,1018.84,1.2297,1.92679,1.20224,1.22242,0,0.6925,0.58104,0.63988,0.39648,0.67677,0.57758,0.62147,0.34361,1.32017,2.12491,1.27556,1.26327,0,0.000684793,0.000684793,0.000684793
33,1050.41,1.17278,1.9028,1.15629,1.18928,0,0.60621,0.63624,0.63991,0.38685,0.60789,0.61417,0.63167,0.34176,1.37052,2.22212,1.26048,1.2889,0,0.000671044,0.000671044,0.000671044
34,1081.98,1.23481,1.99281,1.14193,1.17487,0,0.62371,0.58699,0.60488,0.36145,0.61697,0.5642,0.58832,0.31962,1.35439,2.15918,1.33497,1.29165,0,0.000657295,0.000657295,0.000657295
35,1113.53,1.25578,1.98002,1.17728,1.22308,0,0.66865,0.62478,0.66072,0.39808,0.67191,0.5896,0.63099,0.35153,1.34324,2.10468,1.21203,1.26746,0,0.000643547,0.000643547,0.000643547
36,1145.34,1.15212,1.82718,1.08197,1.17353,0,0.64619,0.60694,0.64886,0.4177,0.65615,0.5864,0.63115,0.36804,1.32042,2.19815,1.1577,1.26461,0,0.000629798,0.000629798,0.000629798
37,1177.24,1.12279,1.8231,1.10221,1.15416,0,0.67911,0.5959,0.67214,0.41758,0.68078,0.5909,0.65373,0.3738,1.31081,2.12544,1.18352,1.27171,0,0.000616049,0.000616049,0.000616049
38,1209.01,1.12883,1.80716,1.0702,1.15876,0,0.64475,0.62294,0.65369,0.41518,0.67365,0.60155,0.63854,0.36346,1.32962,2.16208,1.20026,1.25253,0,0.000602301,0.000602301,0.000602301
39,1240.39,1.13673,1.83105,1.0452,1.16491,0,0.68285,0.62773,0.67348,0.41609,0.67271,0.61281,0.6543,0.3776,1.34809,2.11906,1.17519,1.2633,0,0.000588552,0.000588552,0.000588552
40,1272.26,1.19876,1.91271,1.08609,1.15584,0,0.67667,0.63487,0.66346,0.39719,0.67994,0.63652,0.63921,0.34975,1.34856,2.17126,1.15695,1.27482,0,0.000574804,0.000574804,0.000574804
41,1303.69,1.15339,1.82284,1.0561,1.15554,0,0.66041,0.60581,0.65662,0.41353,0.6761,0.61122,0.65658,0.3643,1.29212,2.10609,1.13814,1.24017,0,0.000561055,0.000561055,0.000561055
42,1335.12,1.16232,1.8518,1.04653,1.15157,0,0.67012,0.62251,0.6506,0.40695,0.66917,0.5883,0.63177,0.35949,1.30755,2.23009,1.15449,1.23794,0,0.000547306,0.000547306,0.000547306
43,1366.86,1.12649,1.81203,0.99248,1.14261,0,0.69202,0.65113,0.69552,0.43283,0.72123,0.62279,0.68003,0.38363,1.30781,2.17911,1.08572,1.26836,0,0.000533558,0.000533558,0.000533558
44,1398.59,1.13062,1.76277,1.00017,1.14703,0,0.63848,0.63772,0.6459,0.40769,0.62918,0.6254,0.63216,0.3519,1.32275,2.16633,1.1638,1.2597,0,0.000519809,0.000519809,0.000519809
45,1430.19,1.08984,1.71138,0.99587,1.13432,0,0.63645,0.66179,0.68916,0.43434,0.73924,0.59838,0.66967,0.38266,1.30757,2.23413,1.13307,1.26358,0,0.00050606,0.00050606,0.00050606
46,1462.1,1.04919,1.76178,0.91864,1.12366,0,0.72491,0.62405,0.69649,0.44926,0.73468,0.62145,0.6837,0.38939,1.28561,2.11765,1.02323,1.23496,0,0.000492312,0.000492312,0.000492312
47,1494.03,1.08279,1.76679,0.94858,1.11323,0,0.72027,0.619,0.67563,0.42408,0.71303,0.61461,0.66572,0.3816,1.33833,2.09349,1.12123,1.27582,0,0.000478563,0.000478563,0.000478563
48,1525.57,1.04426,1.69464,0.94238,1.10468,0,0.72722,0.55301,0.63738,0.39559,0.69376,0.55966,0.61558,0.34901,1.35438,2.18098,1.25232,1.29833,0,0.000464815,0.000464815,0.000464815
49,1557.27,1.15198,1.79195,0.93163,1.14107,0,0.70668,0.63352,0.66813,0.4199,0.70517,0.61825,0.65842,0.37285,1.30474,2.11712,1.08128,1.26146,0,0.000451066,0.000451066,0.000451066
50,1588.56,1.09628,1.75778,0.95558,1.13718,0,0.66831,0.63608,0.67741,0.43214,0.69656,0.61539,0.65949,0.37503,1.2851,2.1744,1.11521,1.23947,0,0.000437317,0.000437317,0.000437317
51,1619.89,1.03612,1.71555,0.93963,1.10804,0,0.69182,0.62738,0.66976,0.421,0.69276,0.62773,0.6527,0.37647,1.31428,2.14641,1.11347,1.2749,0,0.000423569,0.000423569,0.000423569
52,1651.53,1.06472,1.6918,0.9332,1.10168,0,0.67472,0.6651,0.68626,0.43338,0.6694,0.64827,0.66498,0.38421,1.2913,2.12404,1.07373,1.24794,0,0.00040982,0.00040982,0.00040982
53,1683.1,1.04568,1.67734,0.85532,1.09487,0,0.69866,0.63455,0.6831,0.43688,0.6845,0.64096,0.68171,0.39325,1.28745,2.09266,1.03493,1.23071,0,0.000396071,0.000396071,0.000396071
54,1714.72,1.03716,1.65582,0.87627,1.09866,0,0.67739,0.65543,0.69141,0.44107,0.66555,0.63638,0.67824,0.38797,1.28779,2.11578,1.0392,1.22553,0,0.000382323,0.000382323,0.000382323
55,1746.49,1.03294,1.73497,0.87455,1.09282,0,0.72314,0.64637,0.68901,0.43259,0.72051,0.6314,0.66949,0.38046,1.29285,2.22917,1.03106,1.2524,0,0.000368574,0.000368574,0.000368574
56,1778.08,0.93072,1.52659,0.83537,1.05959,0,0.70558,0.64153,0.6985,0.44261,0.71952,0.64402,0.69714,0.39972,1.3043,2.12163,1.03023,1.26784,0,0.000354826,0.000354826,0.000354826
